t0 t1 t103 t43 ||| t0 t1 t36 ||| 0.00680272 2.36368e-05 0.666667 0.0438203 2.718 ||| 0-0 1-1 2-2 3-2 ||| 294 3 2
t0 t1 t2 t3 t20 t29 t45 ||| t0 t2 t3 t20 t29 t45 ||| 0.285714 0.00194524 1 0.0176529 2.718 ||| 0-0 1-1 2-1 3-2 4-3 5-4 6-5 ||| 7 2 2
t0 t1 t2 t3 t4 t1 ||| t0 t1 t3 t4 t1 ||| 0.0352941 0.00303964 0.75 0.0491223 2.718 ||| 0-0 1-1 2-1 3-2 4-3 5-4 ||| 85 4 3
t0 t1 t2 t791 t2 t3 t4 ||| t74 t1 t2 t791 t2 t3 t4 ||| 1 0.000522625 1 0.00109248 2.718 ||| 0-0 1-1 2-2 3-3 4-4 5-5 6-6 ||| 2 2 2
t0 t1 t2 t791 t2 t3 ||| t74 t1 t2 t791 t2 t3 ||| 1 0.00102484 1 0.00201364 2.718 ||| 0-0 1-1 2-2 3-3 4-4 5-5 ||| 2 2 2
t0 t1 t2 t791 t2 ||| t74 t1 t2 t791 t2 ||| 1 0.00135223 1 0.00270928 2.718 ||| 0-0 1-1 2-2 3-3 4-4 ||| 2 2 2
t0 t1 t2 t791 ||| t74 t1 t2 t791 ||| 1 0.00241304 1 0.00622533 2.718 ||| 0-0 1-1 2-2 3-3 ||| 2 2 2
t0 t1 t3 t1 t2 t2 t3 ||| t0 t1 t3 t1 t2 t2 t3 ||| 1 0.0294482 1 0.0221119 2.718 ||| 0-0 1-1 2-2 3-3 4-4 5-5 6-6 ||| 2 2 2
t0 t1 t3 t1 t2 t2 ||| t0 t1 t3 t1 t2 t2 ||| 1 0.0388554 1 0.0297508 2.718 ||| 0-0 1-1 2-2 3-3 4-4 5-5 ||| 2 2 2
t0 t1 t3 t1 t2 ||| t0 t1 t3 t1 t2 ||| 1 0.069337 0.75 0.0683606 2.718 ||| 0-0 1-1 2-2 3-3 4-4 ||| 3 4 3
t0 t1 t3 t1 t36 t3 ||| t0 t1 t3 t20 t1 t36 t3 ||| 0.222222 0.0544997 0.666667 0.00329346 2.718 ||| 0-0 1-1 2-2 3-4 4-5 5-6 ||| 9 3 2
t0 t1 t3 t1 t36 ||| t0 t1 t3 t20 t1 t36 ||| 0.181818 0.0719097 0.666667 0.00443125 2.718 ||| 0-0 1-1 2-2 3-4 4-5 ||| 11 3 2
t0 t1 t3 t154 ||| t0 t1 t3 t74 ||| 0.2 0.00542605 0.75 0.0145918 2.718 ||| 0-0 1-1 2-2 3-3 ||| 15 4 3
t0 t1 t3 t187 t640 ||| t0 t1 t3 t187 t51 ||| 1 0.000443251 1 0.00388827 2.718 ||| 0-0 1-1 2-2 3-3 4-4 ||| 2 2 2
t0 t1 t3 t187 ||| t0 t1 t3 t187 ||| 0.666667 0.0723983 0.666667 0.0803575 2.718 ||| 0-0 1-1 2-2 3-3 ||| 3 3 2
t0 t1 t3 t20 t1 t3 t27 ||| t0 t1 t3 t20 t1 t3 t27 ||| 0.333333 0.0199596 1 0.02671 2.718 ||| 0-0 1-1 2-2 3-3 4-4 5-5 6-6 ||| 6 2 2
t0 t1 t3 t20 t1 t3 t4 ||| t0 t1 t3 t20 t1 t3 t4 ||| 0.142857 0.0253163 0.666667 0.0321095 2.718 ||| 0-0 1-1 2-2 3-3 4-4 5-5 6-6 ||| 14 3 2
t0 t1 t3 t20 t1 t3 t45 ||| t0 t1 t3 t20 t1 t3 t45 ||| 1 0.0270632 1 0.0375872 2.718 ||| 0-0 1-1 2-2 3-3 4-4 5-5 6-6 ||| 2 2 2
t0 t1 t3 t20 t1 ||| t0 t593 t1 t3 t20 t1 ||| 0.666667 0.0389357 0.0465116 0.000110805 2.718 ||| 0-0 1-1 1-2 2-3 3-4 4-5 ||| 3 43 2
t0 t1 t3 t20 t154 ||| t0 t1 t3 t20 t154 ||| 0.25 0.0612326 0.666667 0.0791607 2.718 ||| 0-0 1-1 2-2 3-3 4-4 ||| 8 3 2
